id,xcoord,ycoord,xcoord_scaled,ycoord_scaled
900,282.221143617021,-812.860505319149,477.820,-1376.229
900,282.356229423761,-817.858680168514,478.049,-1384.691
900,282.4913152305,-822.856855017878,478.277,-1393.154
900,282.62640103724,-827.855029867242,478.506,-1401.616
900,282.761486843979,-832.853204716606,478.735,-1410.078
900,282.896572650719,-837.851379565971,478.964,-1418.540
900,283.031658457459,-842.849554415335,479.192,-1427.003
900,284.439978988126,-847.639925189382,481.577,-1435.113
900,285.901071666121,-852.421683044638,484.050,-1443.209
900,287.362164344117,-857.203440899895,486.524,-1451.305
900,288.823257022112,-861.985198755152,488.998,-1459.401
900,290.284349700107,-866.766956610408,491.472,-1467.497
900,291.745442378102,-871.548714465665,493.945,-1475.592
900,293.679648446101,-876.15327030642,497.220,-1483.388
900,295.719348757051,-880.7183138595,500.673,-1491.117
900,297.759049068001,-885.283357412579,504.127,-1498.846
900,299.798749378951,-889.848400965658,507.580,-1506.575
900,301.838449689902,-894.413444518737,511.033,-1514.304
900,303.878150000852,-898.978488071816,514.487,-1522.033
900,305.917850311802,-903.543531624895,517.940,-1529.762
900,307.957550622752,-908.108575177974,521.393,-1537.491
900,310.266444998084,-912.528834161124,525.303,-1544.975
900,312.95082245905,-916.747141599785,529.847,-1552.116
900,315.635199920016,-920.965449038445,534.392,-1559.258
900,318.319577380982,-925.183756477106,538.937,-1566.400
900,321.058772925829,-929.36392468366,543.575,-1573.478
900,324.0807053327,-933.347381038172,548.691,-1580.222
900,327.102637739571,-937.330837392684,553.807,-1586.966
900,330.124570146442,-941.314293747196,558.924,-1593.710
900,333.146502553313,-945.297750101708,564.040,-1600.455
900,336.168434960184,-949.28120645622,569.156,-1607.199
900,339.393698253336,-953.064515220988,574.617,-1613.604
900,343.328977829093,-956.148923537121,581.280,-1618.826
900,347.264257404849,-959.233331853255,587.942,-1624.049
900,351.199536980606,-962.317740169388,594.605,-1629.271
900,355.134816556362,-965.402148485522,601.268,-1634.493
900,359.070096132119,-968.486556801655,607.931,-1639.715
900,363.005375707875,-971.570965117789,614.593,-1644.937
900,366.940655283632,-974.655373433922,621.256,-1650.159
900,371.145795526512,-977.323018082263,628.376,-1654.676
900,375.570386638422,-979.651750246426,635.867,-1658.618
900,379.994977750332,-981.98048241059,643.358,-1662.561
900,384.446162125084,-984.175911035051,650.894,-1666.278
900,389.425628157422,-983.723232304838,659.325,-1665.512
900,394.405094189761,-983.270553574625,667.755,-1664.745
900,399.384560222099,-982.817874844413,676.186,-1663.979
900,403.386336985174,-980.721990532877,682.961,-1660.430
900,406.1598379663,-976.561739061188,687.657,-1653.387
900,408.778334383776,-972.336035287058,692.090,-1646.232
900,409.825979827431,-967.447023216671,693.864,-1637.955
900,410.873625271085,-962.558011146284,695.638,-1629.677
900,411.921270714739,-957.668999075897,697.411,-1621.400
900,412.968916158394,-952.77998700551,699.185,-1613.123
900,413.579587765957,-947.844681772053,700.219,-1604.767
900,413.579587765957,-942.844681772053,700.219,-1596.301
900,413.579587765957,-937.844681772053,700.219,-1587.836
900,413.579587765957,-932.844681772053,700.219,-1579.371
900,413.579587765957,-927.844681772053,700.219,-1570.905
900,413.579587765957,-922.844681772053,700.219,-1562.440
900,412.834151235097,-917.949083844115,698.957,-1554.151
900,411.46054559561,-913.141464105911,696.631,-1546.012
900,410.086939956123,-908.333844367707,694.306,-1537.872
900,408.713334316636,-903.526224629503,691.980,-1529.733
900,407.339728677149,-898.718604891299,689.654,-1521.593
900,405.416148108901,-894.113278499158,686.398,-1513.796
900,403.347133387395,-889.561446111845,682.895,-1506.089
900,401.278118665889,-885.009613724532,679.392,-1498.383
900,399.209103944383,-880.457781337219,675.889,-1490.676
900,397.140089222878,-875.905948949906,672.386,-1482.969
900,395.071074501372,-871.354116562593,668.883,-1475.263
900,393.002059779866,-866.80228417528,665.380,-1467.556
900,390.93304505836,-862.250451787967,661.877,-1459.850
900,388.671845660549,-857.791511937007,658.048,-1452.300
900,386.390262422568,-853.342424622944,654.185,-1444.768
900,384.108679184586,-848.89333730888,650.323,-1437.235
900,381.827095946605,-844.444249994816,646.460,-1429.703
900,379.545512708624,-839.995162680753,642.597,-1422.170
900,377.263929470642,-835.546075366689,638.734,-1414.637
900,374.982346232661,-831.096988052625,634.871,-1407.105
900,371.522011944772,-827.593641392188,629.013,-1401.173
900,367.673222142805,-824.401962044215,622.496,-1395.770
900,363.824432340838,-821.210282696243,615.980,-1390.366
900,359.975642538871,-818.01860334827,609.464,-1384.962
900,356.126852736904,-814.826924000298,602.947,-1379.558
900,352.278062934937,-811.635244652325,596.431,-1374.155
900,348.42927313297,-808.443565304352,589.915,-1368.751
900,344.580483331003,-805.25188595638,583.399,-1363.347
900,340.695190427348,-802.115577881055,576.821,-1358.037
900,336.244973603055,-799.836198532027,569.286,-1354.178
900,331.794756778762,-797.556819182999,561.752,-1350.319
900,327.344539954468,-795.27743983397,554.217,-1346.460
900,322.894323130175,-792.998060484942,546.682,-1342.601
900,318.444106305882,-790.718681135914,539.148,-1338.742
900,313.993889481588,-788.439301786886,531.613,-1334.882
900,309.543672657295,-786.159922437857,524.079,-1331.023
900,304.851608046337,-785.674828443361,516.135,-1330.202
900,299.956705947649,-786.694599713921,507.847,-1331.928
900,295.061803848961,-787.714370984481,499.560,-1333.655
900,290.166901750273,-788.734142255041,491.273,-1335.382
900,287.240794420414,-791.827693968385,486.319,-1340.619
900,285.968327924016,-796.663066654698,484.164,-1348.806
900,284.695861427617,-801.498439341011,482.010,-1356.992
900,283.521923177155,-806.356607518477,480.022,-1365.218
900,282.541342501465,-811.259510896932,478.362,-1373.519
850,353.239460640419,-740.403204018009,598.059,-1253.554
850,355.497003181387,-744.864538087065,601.881,-1261.107
850,357.754545722355,-749.325872156121,605.703,-1268.661
850,360.012088263323,-753.787206225177,609.525,-1276.214
850,362.269630804291,-758.248540294233,613.348,-1283.767
850,364.550899565188,-762.697658097423,617.210,-1291.300
850,366.804591338235,-767.158547114054,621.026,-1298.853
850,368.796475316143,-771.744656382111,624.398,-1306.617
850,370.78835929405,-776.330765650167,627.770,-1314.382
850,372.780243271958,-780.916874918224,631.143,-1322.146
850,374.772127249866,-785.502984186281,634.515,-1329.911
850,376.764011227773,-790.089093454337,637.888,-1337.676
850,378.755895205681,-794.675202722394,641.260,-1345.440
850,380.747779183588,-799.261311990451,644.632,-1353.205
850,382.739663161496,-803.847421258507,648.005,-1360.969
850,385.409856306691,-808.068786640052,652.526,-1368.116
850,388.137392229571,-812.259317368898,657.144,-1375.211
850,390.864928152451,-816.449848097744,661.761,-1382.306
850,393.59246407533,-820.640378826589,666.379,-1389.401
850,396.31999999821,-824.830909555435,670.997,-1396.496
850,399.04753592109,-829.021440284281,675.615,-1403.591
850,401.77507184397,-833.211971013126,680.233,-1410.686
850,404.50260776685,-837.402501741972,684.851,-1417.780
850,407.23014368973,-841.593032470818,689.469,-1424.875
850,409.95767961261,-845.783563199663,694.087,-1431.970
850,412.685215535489,-849.974093928509,698.705,-1439.065
850,415.412751458369,-854.164624657355,703.323,-1446.160
850,418.140287381249,-858.355155386201,707.940,-1453.255
850,420.867823304129,-862.545686115046,712.558,-1460.350
850,423.260153292525,-866.935861188359,716.609,-1467.782
850,425.645612607046,-871.330128346687,720.648,-1475.222
850,428.031071921567,-875.724395505016,724.686,-1482.662
850,430.416531236089,-880.118662663344,728.725,-1490.102
850,432.80199055061,-884.512929821673,732.764,-1497.542
850,435.187449865131,-888.907196980001,736.803,-1504.981
850,437.572909179652,-893.301464138329,740.841,-1512.421
850,439.958368494173,-897.695731296658,744.880,-1519.861
850,442.343827808694,-902.089998454986,748.919,-1527.301
850,444.729287123216,-906.484265613315,752.958,-1534.741
850,447.114746437737,-910.878532771643,756.996,-1542.180
850,449.500205752258,-915.272799929972,761.035,-1549.620
850,451.885665066779,-919.6670670883,765.074,-1557.060
850,453.24747171849,-924.475836157925,767.379,-1565.202
850,454.59146655756,-929.291817664591,769.655,-1573.355
850,455.93546139663,-934.107799171258,771.930,-1581.509
850,457.2794562357,-938.923780677924,774.206,-1589.663
850,458.623451074769,-943.739762184591,776.481,-1597.817
850,459.967445913839,-948.555743691257,778.757,-1605.971
850,461.311440752909,-953.371725197924,781.032,-1614.124
850,462.595518293332,-958.203855138021,783.206,-1622.306
850,463.853687552157,-963.042967671962,785.336,-1630.498
850,465.111856810981,-967.882080205904,787.467,-1638.691
850,466.370026069806,-972.721192739845,789.597,-1646.884
850,467.628195328631,-977.560305273786,791.727,-1655.077
850,468.886364587456,-982.399417807728,793.857,-1663.270
850,470.14453384628,-987.238530341669,795.987,-1671.463
850,471.402703105105,-992.07764287561,798.117,-1679.656
850,471.933642271907,-996.901818629387,799.016,-1687.824
850,470.477834192994,-1001.68518803153,796.552,-1695.922
850,469.02202611408,-1006.46855743368,794.087,-1704.021
850,467.566218035167,-1011.25192683582,791.622,-1712.120
850,465.577837428018,-1015.76512190449,788.256,-1719.761
850,462.577837428018,-1019.76512190449,783.176,-1726.533
850,459.577837428018,-1023.76512190449,778.097,-1733.305
850,456.509435548513,-1027.70013792943,772.902,-1739.968
850,452.668329150527,-1030.90105992775,766.399,-1745.387
850,448.82722275254,-1034.10198192608,759.896,-1750.806
850,444.986116354553,-1037.3029039244,753.392,-1756.226
850,441.00838618612,-1040.30451653963,746.658,-1761.308
850,436.637599805513,-1042.73273119552,739.258,-1765.419
850,432.266813424905,-1045.16094585141,731.858,-1769.530
850,427.896027044297,-1047.58916050731,724.458,-1773.641
850,423.254389533577,-1046.23887458422,716.599,-1771.355
850,418.581950858932,-1044.45889794626,708.688,-1768.341
850,413.909512184288,-1042.6789213083,700.777,-1765.328
850,409.313558870542,-1040.7371362239,692.996,-1762.040
850,404.972343159919,-1038.25644153211,685.646,-1757.840
850,400.631127449297,-1035.77574684033,678.296,-1753.640
850,396.289911738675,-1033.29505214854,670.946,-1749.440
850,391.948696028052,-1030.81435745676,663.596,-1745.240
850,387.60748031743,-1028.33366276498,656.246,-1741.040
850,383.266264606808,-1025.85296807319,648.896,-1736.840
850,378.925048896186,-1023.37227338141,641.546,-1732.640
850,374.583833185563,-1020.89157868962,634.196,-1728.440
850,370.240745412017,-1018.41430025088,626.843,-1724.246
850,365.813755897828,-1016.09013075593,619.348,-1720.311
850,361.386766383638,-1013.76596126098,611.853,-1716.376
850,356.959776869448,-1011.44179176603,604.358,-1712.441
850,352.532787355258,-1009.11762227109,596.862,-1708.506
850,348.105797841069,-1006.79345277614,589.367,-1704.571
850,343.678808326879,-1004.46928328119,581.872,-1700.636
850,339.251818812689,-1002.14511378624,574.377,-1696.701
850,335.383903977027,-999.054155335026,567.828,-1691.468
850,331.817221819453,-995.550046548638,561.790,-1685.535
850,328.250539661879,-992.04593776225,555.751,-1679.603
850,324.683857504305,-988.541828975861,549.712,-1673.670
850,321.117175346731,-985.037720189473,543.674,-1667.737
850,317.550493189157,-981.533611403084,537.635,-1661.804
850,313.983811031584,-978.029502616696,531.596,-1655.872
850,310.41712887401,-974.525393830308,525.558,-1649.939
850,306.850446716436,-971.021285043919,519.519,-1644.006
850,303.283764558862,-967.517176257531,513.480,-1638.074
850,299.717082401288,-964.013067471143,507.442,-1632.141
850,296.150400243714,-960.508958684754,501.403,-1626.208
850,292.58371808614,-957.004849898366,495.365,-1620.276
850,289.298831052293,-953.247446821815,489.803,-1613.914
850,286.193422862338,-949.328717439252,484.545,-1607.279
850,283.088014672382,-945.40998805669,479.288,-1600.645
850,279.982606482427,-941.491258674127,474.030,-1594.010
850,276.877198292472,-937.572529291565,468.772,-1587.375
850,273.771790102517,-933.653799909002,463.515,-1580.741
850,270.666381912562,-929.73507052644,458.257,-1574.106
850,267.560973722606,-925.816341143877,452.999,-1567.471
850,264.455565532651,-921.897611761315,447.742,-1560.837
850,261.350157342696,-917.978882378752,442.484,-1554.202
850,258.244749152741,-914.060152996189,437.226,-1547.567
850,256.157507994424,-909.623544737374,433.692,-1540.056
850,254.819288675493,-904.805955189224,431.427,-1531.899
850,253.481069356563,-899.988365641074,429.161,-1523.743
850,252.142850037632,-895.170776092924,426.895,-1515.586
850,250.804630718702,-890.353186544775,424.630,-1507.430
850,249.466411399771,-885.535596996625,422.364,-1499.273
850,248.128192080841,-880.718007448475,420.098,-1491.117
850,246.789972761911,-875.900417900326,417.833,-1482.960
850,245.45175344298,-871.082828352176,415.567,-1474.804
850,244.11353412405,-866.265238804026,413.301,-1466.647
850,242.775314805119,-861.447649255877,411.035,-1458.491
850,241.437095486189,-856.630059707727,408.770,-1450.334
850,240.504626720688,-851.745647993656,407.191,-1442.064
850,240.227276622575,-846.753346227628,406.721,-1433.612
850,239.949926524462,-841.761044461601,406.252,-1425.160
850,239.67257642635,-836.768742695574,405.782,-1416.707
850,239.395226328237,-831.776440929547,405.313,-1408.255
850,239.117876230124,-826.78413916352,404.843,-1399.803
850,238.840526132012,-821.791837397493,404.374,-1391.351
850,238.563176033899,-816.799535631466,403.904,-1382.898
850,238.285825935787,-811.807233865439,403.434,-1374.446
850,238.008475837674,-806.814932099412,402.965,-1365.994
850,237.731125739561,-801.822630333385,402.495,-1357.541
850,237.453775641449,-796.830328567358,402.026,-1349.089
850,238.77074145234,-792.182336640107,404.255,-1341.220
850,241.083571485815,-787.74941240928,408.171,-1333.714
850,243.39640151929,-783.316488178452,412.087,-1326.209
850,245.709231552765,-778.883563947625,416.003,-1318.704
850,248.02206158624,-774.450639716798,419.919,-1311.199
850,250.334891619716,-770.017715485971,423.834,-1303.693
850,252.647721653191,-765.584791255143,427.750,-1296.188
850,254.960551686666,-761.151867024316,431.666,-1288.683
